Nome;Accuracy;cv-average
RF-D0_1-A1-B;0.707;0.713
RF-D0_1-A2(5)-B;0.504;0.498
 RF-D0_1-A2(10)-B;0.523;0.524
RF-D0_1-A2(15)-B;0.684;0.657
RF-D0_1-A3(5)-B;0.691;0.665
RF-D0_1-A3(10)-B;0.738;0.738
RF-D0_1-A3(15)-B;0.781;0.758
SVM-D0_1-A1-B;0.703;0.678
SVM-D0_1-A2(5);0.523;0.548
SVM-D0_1-A2(10);0.523;0.509
SVM-D0_1-A2(15);0.707;0.672
SVM-D0_1-A3(5)-B;0.688;0.682
SVM-D0_1-A3(10)-B;0.746;0.738
SVM-D0_1-A3(15)-B;0.777;0.754
XGBOOST-D0_1-A1-B;0.703;0.723
XGBOOST-D0_1-A2(5)-B;0.484;0.496
XGBOOST-D0_1-A2(10)-B;0.508;0.525
XGBOOST-D0_1-A2(15)-B;0.648;0.68
XGBOOST-D0_1-A3(5)-B;0.668;0.667
XGBOOST-D0_1-A3(10)-B;0.703;0.72
XGBOOST-D0_1-A3(15)-B;0.781;0.746
RF-D0_2-A1-B;0.68;0.698
RF-D0_2-A2(5)-B;0.473;0.513
RF-D0_2-A2(10)-B;0.543;0.529
RF-D0_2-A2(15)-B;0.637;0.664
RF-D0_2-A3(5)-B;0.668;0.669
RF-D0_2-A3(10)-B;0.723;0.736
RF-D0_2-A3(15)-B;0.762;0.753
SVM-D0_2-A1-B;0.699;0.677
SVM-D0_2-A2(5);0.566;0.566
SVM-D0_2-A2(10);0.504;0.504
SVM-D0_2-A2(15);0.711;0.669
SVM-D0_2-A3(5)-B;0.707;0.692
SVM-D0_2-A3(10)-B;0.746;0.747
SVM-D0_2-A3(15)-B;0.773;0.753
XGBOOST-D0_2-A1-B;0.711;0.721
XGBOOST-D0_2-A2(5)-B;0.484;0.509
XGBOOST-D0_2-A2(10)-B;0.52;0.543
XGBOOST-D0_2-A2(15)-B;0.703;0.688
XGBOOST-D0_2-A3(5)-B;0.668;0.661
XGBOOST-D0_2-A3(10)-B;0.707;0.736
XGBOOST-D0_2-A3(15)-B;0.758;0.753
RF-D1_1-A1-B;0.734;0.707
RF-D1_1-A2(10)-B;0.598;0.615
RF-D1_1-A2(30)-B;0.645;0.629
RF-D1_1-A2(50)-B;0.656;0.666
RF-D1_1-A2(70)-B;0.691;0.704
RF-D1_1-A3(10)-B;0.77;0.755
RF-D1_1-A3(30)-B;0.809;0.798
RF-D1_1-A3(50)-B;0.812;0.801
RF-D1_1-A3(70)-B;0.789;0.798
SVM-D1_1-A1-B;0.734;0.701
SVM-D1_1-A2(10)-B;0.715;0.705
SVM-D1_1-A2(30)-B;0.797;0.791
SVM-D1_1-A2(50)-B;0.672;0.652
SVM-D1_1-A2(70)-B;0.699;0.698
SVM-D1_1-A3(10)-B;0.781;0.773
SVM-D1_1-A3(30)-B;0.824;0.81
SVM-D1_1-A3(50)-B;0.816;0.815
SVM-D1_1-A3(70)-B;0.816;0.816
XGBOOST-D1_1-A1-B;0.781;0.739
XGBOOST-D1_1-A2(10)-B;0.594;0.618
XGBOOST-D1_1-A2(30)-B;0.656;0.654
XGBOOST-D1_1-A2(50)-B;0.691;0.67
XGBOOST-D1_1-A2(70)-B;0.754;0.739
XGBOOST-D1_1-A3(10)-B;0.754;0.747
XGBOOST-D1_1-A3(30)-B;0.832;0.816
XGBOOST-D1_1-A3(50)-B;0.82;0.817
XGBOOST-D1_1-A3(70)-B;0.797;0.795
RF-D1_2-A1-B;0.719;0.703
RF-D1_2-A2(10)-B;0.57;0.568
RF-D1_2-A2(30)-B;0.609;0.603
RF-D1_2-A2(50)-B;0.66;0.645
RF-D1_2-A2(70)-B;0.734;0.689
RF-D1_2-A3(10)-B;0.754;0.758
RF-D1_2-A3(30)-B;0.809;0.811
RF-D1_2-A3(50)-B;0.832;0.809
RF-D1_2-A3(70)-B;0.789;0.794
SVM-D1_2-A1-B;0.75;0.698
SVM-D1_2-A2(10)-B;0.559;0.599
SVM-D1_2-A2(30)-B;0.754;0.767
SVM-D1_2-A2(50)-B;0.652;0.631
SVM-D1_2-A2(70)-B;0.754;0.698
SVM-D1_2-A3(10)-B;0.816;0.773
SVM-D1_2-A3(30)-B;0.836;0.816
SVM-D1_2-A3(50)-B;0.836;0.814
SVM-D1_2-A3(70)-B;0.84;0.815
XGBOOST-D1_2-A1-B;0.785;0.757
XGBOOST-D1_2-A2(10)-B;0.551;0.537
XGBOOST-D1_2-A2(30)-B;0.676;0.647
XGBOOST-D1_2-A2(50)-B;0.684;0.678
XGBOOST-D1_2-A2(70)-B;0.781;0.741
XGBOOST-D1_2-A3(10)-B;0.762;0.745
XGBOOST-D1_2-A3(30)-B;0.836;0.8
XGBOOST-D1_2-A3(50)-B;0.844;0.821
XGBOOST-D1_2-A3(70)-B;0.836;0.816
