Model;Dataset;Type of experiment;K;Testing type;STATUS;ACCURACY-oneshot;Name
Random Forest;D0_2;A2;5;B ;DONE;0.473;RF-D0_2-A2(5)-B
Random Forest;D0_1;A2;5;B ;DONE;0.504;RF-D0_1-A2(5)-B
Random Forest;D0_2;A3;5;B ;DONE;0.668;RF-D0_2-A3(5)-B
Random Forest;D0_1;A3;5;B ;DONE;0.691;RF-D0_1-A3(5)-B
Random Forest;D0_1;A2;10;B ;DONE;0.523; RF-D0_1-A2(10)-B
Random Forest;D0_2;A2;10;B ;DONE;0.543;RF-D0_2-A2(10)-B
Random Forest;D1_2;A2;10;B ;DONE;0.57;RF-D1_2-A2(10)-B
Random Forest;D1_1;A2;10;B ;DONE;0.598;RF-D1_1-A2(10)-B
Random Forest;D0_2;A3;10;B ;DONE;0.723;RF-D0_2-A3(10)-B
Random Forest;D0_1;A3;10;B ;DONE;0.738;RF-D0_1-A3(10)-B
Random Forest;D1_2;A3;10;B ;DONE;0.754;RF-D1_2-A3(10)-B
Random Forest;D1_1;A3;10;B ;DONE;0.77;RF-D1_1-A3(10)-B
Random Forest;D0_2;A2;15;B ;DONE;0.637;RF-D0_2-A2(15)-B
Random Forest;D0_1;A2;15;B ;DONE;0.684;RF-D0_1-A2(15)-B
Random Forest;D0_2;A3;15;B ;DONE;0.762;RF-D0_2-A3(15)-B
Random Forest;D0_1;A3;15;B ;DONE;0.781;RF-D0_1-A3(15)-B
Random Forest;D1_2;A2;30;B ;DONE;0.609;RF-D1_2-A2(30)-B
Random Forest;D1_1;A2;30;B ;DONE;0.645;RF-D1_1-A2(30)-B
Random Forest;D1_1;A3;30;B ;DONE;0.809;RF-D1_1-A3(30)-B
Random Forest;D1_2;A3;30;B ;DONE;0.809;RF-D1_2-A3(30)-B
Random Forest;D1_1;A2;50;B ;DONE;0.656;RF-D1_1-A2(50)-B
Random Forest;D1_2;A2;50;B ;DONE;0.66;RF-D1_2-A2(50)-B
Random Forest;D1_1;A3;50;B ;DONE;0.812;RF-D1_1-A3(50)-B
Random Forest;D1_2;A3;50;B ;DONE;0.832;RF-D1_2-A3(50)-B
Random Forest;D1_1;A2;70;B ;DONE;0.691;RF-D1_1-A2(70)-B
Random Forest;D1_2;A2;70;B ;DONE;0.734;RF-D1_2-A2(70)-B
Random Forest;D1_1;A3;70;B ;DONE;0.789;RF-D1_1-A3(70)-B
Random Forest;D1_2;A3;70;B ;DONE;0.789;RF-D1_2-A3(70)-B
Random Forest;D0_2;A1;;B ;DONE;0.68;RF-D0_2-A1-B
Random Forest;D0_1;A1;;B ;DONE;0.707;RF-D0_1-A1-B
Random Forest;D1_2;A1;;B ;DONE;0.719;RF-D1_2-A1-B
Random Forest;D1_1;A1;;B ;DONE;0.734;RF-D1_1-A1-B
SVM;D0_1;A2;5;B ;DONE;0.523;SVM-D0_1-A2(5)
SVM;D0_2;A2;5;B ;DONE;0.566;SVM-D0_2-A2(5)
SVM;D0_1;A3;5;B ;DONE;0.688;SVM-D0_1-A3(5)-B
SVM;D0_2;A3;5;B ;DONE;0.707;SVM-D0_2-A3(5)-B
SVM;D0_2;A2;10;B ;DONE;0.504;SVM-D0_2-A2(10)
SVM;D0_1;A2;10;B ;DONE;0.523;SVM-D0_1-A2(10)
SVM;D1_2;A2;10;B ;DONE;0.559;SVM-D1_2-A2(10)-B
SVM;D1_1;A2;10;B ;DONE;0.715;SVM-D1_1-A2(10)-B
SVM;D0_1;A3;10;B ;DONE;0.746;SVM-D0_1-A3(10)-B
SVM;D0_2;A3;10;B ;DONE;0.746;SVM-D0_2-A3(10)-B
SVM;D1_1;A3;10;B ;DONE;0.781;SVM-D1_1-A3(10)-B
SVM;D1_2;A3;10;B ;DONE;0.816;SVM-D1_2-A3(10)-B
SVM;D0_1;A2;15;B ;DONE;0.707;SVM-D0_1-A2(15)
SVM;D0_2;A2;15;B ;DONE;0.711;SVM-D0_2-A2(15)
SVM;D0_2;A3;15;B ;DONE;0.773;SVM-D0_2-A3(15)-B
SVM;D0_1;A3;15;B ;DONE;0.777;SVM-D0_1-A3(15)-B
SVM;D1_2;A2;30;B ;DONE;0.754;SVM-D1_2-A2(30)-B
SVM;D1_1;A2;30;B ;DONE;0.797;SVM-D1_1-A2(30)-B
SVM;D1_1;A3;30;B ;DONE;0.824;SVM-D1_1-A3(30)-B
SVM;D1_2;A3;30;B ;DONE;0.836;SVM-D1_2-A3(30)-B
SVM;D1_2;A2;50;B ;DONE;0.652;SVM-D1_2-A2(50)-B
SVM;D1_1;A2;50;B ;DONE;0.672;SVM-D1_1-A2(50)-B
SVM;D1_1;A3;50;B ;DONE;0.816;SVM-D1_1-A3(50)-B
SVM;D1_2;A3;50;B ;DONE;0.836;SVM-D1_2-A3(50)-B
SVM;D1_1;A2;70;B ;DONE;0.699;SVM-D1_1-A2(70)-B
SVM;D1_2;A2;70;B ;DONE;0.754;SVM-D1_2-A2(70)-B
SVM;D1_1;A3;70;B ;DONE;0.816;SVM-D1_1-A3(70)-B
SVM;D1_2;A3;70;B ;DONE;0.84;SVM-D1_2-A3(70)-B
SVM;D0_2;A1;;B ;DONE;0.699;SVM-D0_2-A1-B
SVM;D0_1;A1;;B ;DONE;0.703;SVM-D0_1-A1-B
SVM;D1_1;A1;;B ;DONE;0.734;SVM-D1_1-A1-B
SVM;D1_2;A1;;B ;DONE;0.75;SVM-D1_2-A1-B
XGBoost;D0_1;A2;5;B ;DONE;0.484;XGBOOST-D0_1-A2(5)-B
XGBoost;D0_2;A2;5;B ;DONE;0.484;XGBOOST-D0_2-A2(5)-B
XGBoost;D0_1;A3;5;B ;DONE;0.668;XGBOOST-D0_1-A3(5)-B
XGBoost;D0_2;A3;5;B ;DONE;0.668;XGBOOST-D0_2-A3(5)-B
XGBoost;D0_1;A2;10;B ;DONE;0.508;XGBOOST-D0_1-A2(10)-B
XGBoost;D0_2;A2;10;B ;DONE;0.52;XGBOOST-D0_2-A2(10)-B
XGBoost;D1_2;A2;10;B ;DONE;0.551;XGBOOST-D1_2-A2(10)-B
XGBoost;D1_1;A2;10;B ;DONE;0.594;XGBOOST-D1_1-A2(10)-B
XGBoost;D0_1;A3;10;B ;DONE;0.703;XGBOOST-D0_1-A3(10)-B
XGBoost;D0_2;A3;10;B ;DONE;0.707;XGBOOST-D0_2-A3(10)-B
XGBoost;D1_1;A3;10;B ;DONE;0.754;XGBOOST-D1_1-A3(10)-B
XGBoost;D1_2;A3;10;B ;DONE;0.762;XGBOOST-D1_2-A3(10)-B
XGBoost;D0_1;A2;15;B ;DONE;0.648;XGBOOST-D0_1-A2(15)-B
XGBoost;D0_2;A2;15;B ;DONE;0.703;XGBOOST-D0_2-A2(15)-B
XGBoost;D0_2;A3;15;B ;DONE;0.758;XGBOOST-D0_2-A3(15)-B
XGBoost;D0_1;A3;15;B ;DONE;0.781;XGBOOST-D0_1-A3(15)-B
XGBoost;D1_1;A2;30;B ;DONE;0.656;XGBOOST-D1_1-A2(30)-B
XGBoost;D1_2;A2;30;B ;DONE;0.676;XGBOOST-D1_2-A2(30)-B
XGBoost;D1_1;A3;30;B ;DONE;0.832;XGBOOST-D1_1-A3(30)-B
XGBoost;D1_2;A3;30;B ;DONE;0.836;XGBOOST-D1_2-A3(30)-B
XGBoost;D1_2;A2;50;B ;DONE;0.684;XGBOOST-D1_2-A2(50)-B
XGBoost;D1_1;A2;50;B ;DONE;0.691;XGBOOST-D1_1-A2(50)-B
XGBoost;D1_1;A3;50;B ;DONE;0.82;XGBOOST-D1_1-A3(50)-B
XGBoost;D1_2;A3;50;B ;DONE;0.844;XGBOOST-D1_2-A3(50)-B
XGBoost;D1_1;A2;70;B ;DONE;0.754;XGBOOST-D1_1-A2(70)-B
XGBoost;D1_2;A2;70;B ;DONE;0.781;XGBOOST-D1_2-A2(70)-B
XGBoost;D1_1;A3;70;B ;DONE;0.797;XGBOOST-D1_1-A3(70)-B
XGBoost;D1_2;A3;70;B ;DONE;0.836;XGBOOST-D1_2-A3(70)-B
XGBoost;D0_1;A1;;B ;DONE;0.703;XGBOOST-D0_1-A1-B
XGBoost;D0_2;A1;;B ;DONE;0.711;XGBOOST-D0_2-A1-B
XGBoost;D1_1;A1;;B ;DONE;0.781;XGBOOST-D1_1-A1-B
XGBoost;D1_2;A1;;B ;DONE;0.785;XGBOOST-D1_2-A1-B
