Name;Dataset;Type of experiment;K;Testing type;STATUS;ACCURACY-oneshot;Model
RF-D0_2-A2(5)-B;D0_2;A2;5;B ;DONE;0.473;Random Forest
RF-D0_1-A2(5)-B;D0_1;A2;5;B ;DONE;0.504;Random Forest
RF-D0_2-A3(5)-B;D0_2;A3;5;B ;DONE;0.668;Random Forest
RF-D0_1-A3(5)-B;D0_1;A3;5;B ;DONE;0.691;Random Forest
 RF-D0_1-A2(10)-B;D0_1;A2;10;B ;DONE;0.523;Random Forest
RF-D0_2-A2(10)-B;D0_2;A2;10;B ;DONE;0.543;Random Forest
RF-D1_2-A2(10)-B;D1_2;A2;10;B ;DONE;0.57;Random Forest
RF-D1_1-A2(10)-B;D1_1;A2;10;B ;DONE;0.598;Random Forest
RF-D0_2-A3(10)-B;D0_2;A3;10;B ;DONE;0.723;Random Forest
RF-D0_1-A3(10)-B;D0_1;A3;10;B ;DONE;0.738;Random Forest
RF-D1_2-A3(10)-B;D1_2;A3;10;B ;DONE;0.754;Random Forest
RF-D1_1-A3(10)-B;D1_1;A3;10;B ;DONE;0.77;Random Forest
RF-D0_2-A2(15)-B;D0_2;A2;15;B ;DONE;0.637;Random Forest
RF-D0_1-A2(15)-B;D0_1;A2;15;B ;DONE;0.684;Random Forest
RF-D0_2-A3(15)-B;D0_2;A3;15;B ;DONE;0.762;Random Forest
RF-D0_1-A3(15)-B;D0_1;A3;15;B ;DONE;0.781;Random Forest
RF-D1_2-A2(30)-B;D1_2;A2;30;B ;DONE;0.609;Random Forest
RF-D1_1-A2(30)-B;D1_1;A2;30;B ;DONE;0.645;Random Forest
RF-D1_1-A3(30)-B;D1_1;A3;30;B ;DONE;0.809;Random Forest
RF-D1_2-A3(30)-B;D1_2;A3;30;B ;DONE;0.809;Random Forest
RF-D1_1-A2(50)-B;D1_1;A2;50;B ;DONE;0.656;Random Forest
RF-D1_2-A2(50)-B;D1_2;A2;50;B ;DONE;0.66;Random Forest
RF-D1_1-A3(50)-B;D1_1;A3;50;B ;DONE;0.812;Random Forest
RF-D1_2-A3(50)-B;D1_2;A3;50;B ;DONE;0.832;Random Forest
RF-D1_1-A2(70)-B;D1_1;A2;70;B ;DONE;0.691;Random Forest
RF-D1_2-A2(70)-B;D1_2;A2;70;B ;DONE;0.734;Random Forest
RF-D1_1-A3(70)-B;D1_1;A3;70;B ;DONE;0.789;Random Forest
RF-D1_2-A3(70)-B;D1_2;A3;70;B ;DONE;0.789;Random Forest
RF-D0_2-A1-B;D0_2;A1;;B ;DONE;0.68;Random Forest
RF-D0_1-A1-B;D0_1;A1;;B ;DONE;0.707;Random Forest
RF-D1_2-A1-B;D1_2;A1;;B ;DONE;0.719;Random Forest
RF-D1_1-A1-B;D1_1;A1;;B ;DONE;0.734;Random Forest
